SampleID	cluster	bodymass	host_scientific_name	digestive_habitat_type	diet	surrounding_habitat	host_order	host_kingdom	host_phylum	host_class	host_family	host_genus	collection_timestamp	country	elevation_m	microbial_habitat_type	internal_habitat_type	exterl_habitat_type	additional_microbial_habitat_info	lifestage	captive_wild	sampling_month	trophic_diet	preservation_method	extraction_method	biogeo_realm	PD_whole_tree	chao1	shannon	simpson	observed_otus	host_phylogeny_nDMSproxy	latitiude	longitude	Site_ID	Bio1_2_5min	Bio2_2_5min	Bio3_2_5min	Bio4_2_5min	Bio5_2_5min	Bio6_2_5min	Bio7_2_5min	Bio8_2_5min	Bio9_2_5min	Bio10_2_5min	Bio11_2_5min	Bio12_2_5min	Bio13_2_5min	Bio14_2_5min	Bio15_2_5min	Bio16_2_5min	Bio17_2_5min	Bio18_2_5min	Bio19_2_5min	Vegetation_density	terrain_complexity	NDVI_Modis_1_mar.2018	Immune_Complexity_Ordinal	Immune_Complexity_Binary
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical
MVB2015-2224	2		cycloramphus boraceiensis	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	cycloramphidae	cycloramphus		brazil	133	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	20.42548	55	4.024675984	0.886322	50	-0.292	-23.365265	-44.800907	26	21.02500006	10.13333329	58.2375489	231.7767346	30	12.60000038	17.39999962	23.71666686	18.23333343	23.96666686	18.23333343	2415	319	94	45.83340818	946	287	934	287	91	43722.5	244	7	Adaptive
MVB2015-2220	2		cycloramphus boraceiensis	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	cycloramphidae	cycloramphus		brazil	133	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	18.60917	94.5	4.017489214	0.891316	56	-0.292	-23.365265	-44.800907	26	21.02500006	10.13333329	58.2375489	231.7767346	30	12.60000038	17.39999962	23.71666686	18.23333343	23.96666686	18.23333343	2415	319	94	45.83340818	946	287	934	287	91	43722.5	244	7	Adaptive
MVB2015-2228	2		cycloramphus boraceiensis	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	cycloramphidae	cycloramphus		brazil	133	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	22.28404	106.1428571	4.813018597	0.945774	70	-0.292	-23.365265	-44.800907	26	21.02500006	10.13333329	58.2375489	231.7767346	30	12.60000038	17.39999962	23.71666686	18.23333343	23.96666686	18.23333343	2415	319	94	45.83340818	946	287	934	287	91	43722.5	244	7	Adaptive
MVB2015-2218	2		cycloramphus boraceiensis	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	cycloramphidae	cycloramphus		brazil	133	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	27.01566	109.3333333	5.046501232	0.94096	86	-0.292	-23.365265	-44.800907	26	21.02500006	10.13333329	58.2375489	231.7767346	30	12.60000038	17.39999962	23.71666686	18.23333343	23.96666686	18.23333343	2415	319	94	45.83340818	946	287	934	287	91	43722.5	244	7	Adaptive
MVB2015-2221	1		cycloramphus boraceiensis	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	cycloramphidae	cycloramphus		brazil	133	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	25.02622	118.9090909	5.216115108	0.958022	87	-0.292	-23.365265	-44.800907	26	21.02500006	10.13333329	58.2375489	231.7767346	30	12.60000038	17.39999962	23.71666686	18.23333343	23.96666686	18.23333343	2415	319	94	45.83340818	946	287	934	287	91	43722.5	244	7	Adaptive
MVB2015-2024	1		dendropsophus minutus	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	25.42476	118.1666667	4.826668551	0.925742	94	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
MVB2015-2018	2		dendropsophus minutus	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	29.77319	109.516129	4.791441847	0.916784	104	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
MVB2015-2022	2		dendropsophus minutus	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	27.29498	163	4.196305784	0.861138	97	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
MVB2015-2098	2		dendropsophus sanborni	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	18.29536	49	4.039131551	0.906518	49	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
MVB2015-2036	1		dendropsophus sanborni	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	19.29294	67	3.637073175	0.837624	45	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
MVB2015-2040	1		dendropsophus sanborni	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	27.65106	124.2727273	3.853080533	0.848256	87	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
MVB2015-2088	2		dendropsophus sanborni	intestine	carnivore	freshwater	anura	animalia	chordata	amphibia	hylidae	dendropsophus		brazil	649	internal	digestive-associated		gastrointestinal tract	larvae	wild	april	3	direct_freeze	DNeasy Powersoil	neotropic	14.13039	23.5	2.940044789	0.827048	21	-0.293	-22.32618	-47.712576	28	20.37649398	11.38157277	59.73439346	245.8254885	29.39629654	10.3428171	19.05347944	22.89311922	17.07098461	22.92083002	17.07098461	1314.371205	249.8030309	22.01748114	73.69731854	664.4169006	81.29098514	612.2277394	81.29098514	0	2556.909912	221	7	Adaptive
