id,species,order,digestive_habitat_type,diet,surrounding_habitat,category
MVB2015-2006,scinax fuscovarius,anura,intestine,carnivore,freshwater,1
MVB2015-2008,scinax fuscovarius,anura,intestine,carnivore,freshwater,1
MVB2015-2010,scinax fuscovarius,anura,intestine,carnivore,freshwater,1
MVB2015-2012,scinax fuscovarius,anura,intestine,carnivore,freshwater,1
MVB2015-2024,dendropsophus minutus,anura,intestine,carnivore,freshwater,1
MVB2015-2026,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2028,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2030,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2032,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2034,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2036,dendropsophus sanborni,anura,intestine,carnivore,freshwater,1
MVB2015-2040,dendropsophus sanborni,anura,intestine,carnivore,freshwater,1
MVB2015-2042,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2084,physalaemus cuvieri,anura,intestine,carnivore,freshwater,1
MVB2015-2090,hypsiboas albopunctatus,anura,intestine,carnivore,freshwater,1
MVB2015-2094,hypsiboas faber,anura,intestine,carnivore,freshwater,1
MVB2015-2212,hypsiboas albopunctatus,anura,intestine,carnivore,freshwater,1
MVB2015-2221,cycloramphus boraceiensis,anura,intestine,carnivore,freshwater,1
MVB2015-2225,hylodes phyllodes,anura,intestine,carnivore,freshwater,1
MVB2015-2262,thoropa taophora,anura,intestine,carnivore,freshwater,1
MVB2015-2268,thoropa taophora,anura,intestine,carnivore,freshwater,1
MVB2015-2294,scinax littoralis,anura,intestine,carnivore,freshwater,1
MVB2015-4857,phasmahyla cruzi,anura,intestine,carnivore,freshwater,1
MVB2015-4865,hylodes asper,anura,intestine,carnivore,freshwater,1
MVB2015-4867,hylodes asper,anura,intestine,carnivore,freshwater,1
MVB2015-4873,phasmahyla cruzi,anura,intestine,carnivore,freshwater,1
MVB2015-4883,phasmahyla cruzi,anura,intestine,carnivore,freshwater,1
MVB2015-4917,hylodes asper,anura,intestine,carnivore,freshwater,1
MVB2015-4932,thoropa taophora,anura,intestine,carnivore,freshwater,1
MVB2015-4934,thoropa taophora,anura,intestine,carnivore,freshwater,1
MVB2015-4950,hypsiboas albomarginatus,anura,intestine,carnivore,freshwater,1
