"","id","cluster.PAM"
"ERR1306253","ERR1306253",1
"ERR1306176","ERR1306176",2
"ERR1306087","ERR1306087",2
"ERR1306170","ERR1306170",1
"ERR1306014","ERR1306014",2
"ERR1306021","ERR1306021",1
"ERR1306268","ERR1306268",2
"ERR1306309","ERR1306309",1
"ERR1306423","ERR1306423",2
"ERR1305971","ERR1305971",2
"ERR1306329","ERR1306329",3
"ERR1306082","ERR1306082",2
"SRR6075095","SRR6075095",2
"SRR6075097","SRR6075097",1
"SRR6075137","SRR6075137",2
"SRR6075100","SRR6075100",1
"SRR6075130","SRR6075130",2
"SRR6075132","SRR6075132",2
"SRR6075134","SRR6075134",2
"SRR6075136","SRR6075136",2
"SRR6075101","SRR6075101",2
"ACLE.POTR.62315","ACLE.POTR.62315",3
"ADJO.R.6515","ADJO.R.6515",2
"ALLA.6415","ALLA.6415",2
"ANTH.61215","ANTH.61215",3
"Aphids.tomato","Aphids.tomato",1
"ARCT.62315","ARCT.62315",2
"ARDE.6915","ARDE.6915",4
"AUPO.52015","AUPO.52015",2
"Bee2","Bee2",1
"Bee3","Bee3",1
"Bee4","Bee4",1
"Bee5","Bee5",1
"Bee6","Bee6",1
"BUQU.51615","BUQU.51615",2
"CAAN.LITU.8615","CAAN.LITU.8615",2
"CAAT.52415","CAAT.52415",3
"CACA.52815","CACA.52815",2
"CACA.SANI.52415","CACA.SANI.52415",3
"CAPH.6515","CAPH.6515",2
"CEUN.FRsp.72215","CEUN.FRsp.72215",3
"CHGL.6415","CHGL.6415",2
"CL.SM.13.F","CL.SM.13.F",3
"CL.SM.13.H","CL.SM.13.H",2
"CL.SM.16.F","CL.SM.16.F",3
"CL.SM.25.F","CL.SM.25.F",2
"CL.SM.27.F","CL.SM.27.F",1
"CL.SM.28.F","CL.SM.28.F",4
"COPA.6515","COPA.6515",2
"COUSS.51915","COUSS.51915",2
"DIFE.62515","DIFE.62515",4
"DYSC.52415","DYSC.52415",3
"EAIM.PIRI.9315","EAIM.PIRI.9315",3
"EI.CV.8.H","EI.CV.8.H",1
"EI.SM.10.F","EI.SM.10.F",3
"EI.SM.14.H","EI.SM.14.H",4
"EI.SM.14.M","EI.SM.14.M",4
"EI.SM.4.H","EI.SM.4.H",2
"EI.SM.5.M","EI.SM.5.M",2
"EPAR.51615","EPAR.51615",2
"EREB1.6215","EREB1.6215",3
"EREB2.6215","EREB2.6215",1
"EUCL.PRSE.51015","EUCL.PRSE.51015",3
"EUEG.81315.ASSY","EUEG.81315.ASSY",2
"EUFU.61915","EUFU.61915",3
"EUPO.61715","EUPO.61715",2
"GONO.62415","GONO.62415",2
"HERN.51915","HERN.51915",2
"HEST.6415","HEST.6415",2
"HYCE.PRSE.9315","HYCE.PRSE.9315",1
"HYCO.52015","HYCO.52015",2
"LABO.PIST.82815","LABO.PIST.82815",2
"LIHE.ACNE.BEPO.51915","LIHE.ACNE.BEPO.51915",3
"LYUN.PRSE.RUsp.52115","LYUN.PRSE.RUsp.52115",4
"MEES.6515","MEES.6515",2
"MEMP.61215","MEMP.61215",2
"MOAM.51615","MOAM.51615",3
"MORP.61215","MORP.61215",1
"NASA.51615","NASA.51615",2
"NOCT.52815","NOCT.52815",2
"NOT2.61215","NOT2.61215",3
"NOTO.52615","NOTO.52615",2
"NOTO.61215","NOTO.61215",2
"NOTO.POTR.61715","NOTO.POTR.61715",3
"NYAN.SANI.62315","NYAN.SANI.62315",2
"NYMP.6515","NYMP.6515",2
"NYSQ.6515","NYSQ.6515",2
"NYTA.6515","NYTA.6515",2
"OPTR.62415","OPTR.62415",2
"OXYT.6215","OXYT.6215",3
"PAFU.PIST.62315","PAFU.PIST.62315",3
"PEIL.62515","PEIL.62515",2
"PHRI.POTR.61715","PHRI.POTR.61715",2
"POLE.62415","POLE.62415",2
"PSEUDOMYR.6215","PSEUDOMYR.6215",2
"PTBR.52015","PTBR.52015",2
"PTER.6515","PTER.6515",2
"PYIS.ROMU.101215","PYIS.ROMU.101215",3
"RL.SM.10.H","RL.SM.10.H",2
"RL.SM.15.F","RL.SM.15.F",2
"RL.SM.15.H","RL.SM.15.H",2
"RL.SM.22.F","RL.SM.22.F",3
"RL.SM.22.H","RL.SM.22.H",2
"RL.SM.8.H","RL.SM.8.H",1
"SARE.52215","SARE.52215",3
"SC.SS.17.H","SC.SS.17.H",1
"SC.SS.7.F","SC.SS.7.F",1
"SC.SS.7.H","SC.SS.7.H",1
"SEAL.BEPO.RUOC.71315","SEAL.BEPO.RUOC.71315",2
"SPHI.52815","SPHI.52815",2
"SPHI.61215","SPHI.61215",3
"SPLA.62015","SPLA.62015",3
"SPLE.62515","SPLE.62515",2
"SPOD.61615","SPOD.61615",4
"TARC.6215","TARC.6215",2
"TAYG.6515","TAYG.6515",3
"TECA.PRSE.72215","TECA.PRSE.72215",3
"TECR.BEPO.72215","TECR.BEPO.72215",2
"TT.PQ.4.F","TT.PQ.4.F",2
"TT.PQ.4.M","TT.PQ.4.M",1
"UDKI.6915","UDKI.6915",4
"SRR2532226","SRR2532226",1
"SRR2532229","SRR2532229",1
"SRR2532230","SRR2532230",1
"SRR2532240","SRR2532240",1
"SRR2532243","SRR2532243",1
"SRR2532245","SRR2532245",1
"SRR2532253","SRR2532253",1
"SRR2532256","SRR2532256",1
"SRR2532257","SRR2532257",1
"ERR1101979","ERR1101979",1
"ERR1101826","ERR1101826",1
"ERR1101997","ERR1101997",1
"ERR1101864","ERR1101864",1
"ERR1101816","ERR1101816",1
"ERR1101849","ERR1101849",1
"ERR1101842","ERR1101842",1
"ERR1102000","ERR1102000",1
"ERR1101920","ERR1101920",1
"ERR1101992","ERR1101992",1
"ERR1101944","ERR1101944",1
"ERR1101827","ERR1101827",1
"ERR1101904","ERR1101904",1
"ERR1101996","ERR1101996",1
"ERR1102001","ERR1102001",1
"ERR1101808","ERR1101808",1
"ERR1101883","ERR1101883",1
"ERR1101985","ERR1101985",1
"ERR1101990","ERR1101990",1
"ERR1101987","ERR1101987",1
"ERR1101813","ERR1101813",1
"ERR1101874","ERR1101874",1
"ERR1101810","ERR1101810",2
"ERR1101965","ERR1101965",1
"ERR1101972","ERR1101972",2
"ERR1101923","ERR1101923",1
"ERR1697524","ERR1697524",1
"ERR1697594","ERR1697594",1
"ERR1697587","ERR1697587",1
"ERR1697562","ERR1697562",1
"ERR1697659","ERR1697659",1
"ERR1697655","ERR1697655",1
"ERR1697609","ERR1697609",1
"ERR1697540","ERR1697540",1
"ERR1697554","ERR1697554",1
"ERR1697683","ERR1697683",1
"10.4.2.21.7.2014","10.4.2.21.7.2014",1
"10.4.3.21.7.2014","10.4.3.21.7.2014",1
"13.7.3.21.7.14","13.7.3.21.7.14",1
"16.5.1.21.7.2014","16.5.1.21.7.2014",2
"17.9.F.16.6.14","17.9.F.16.6.14",1
"17.9.M.16.6.14","17.9.M.16.6.14",1
"28.8.F.16.6.2014","28.8.F.16.6.2014",1
"30.6.M.16.6.2014","30.6.M.16.6.2014",1
"33.8.20.6.2014","33.8.20.6.2014",1
"43.8.20.6.2014","43.8.20.6.2014",1
"49.5.11.6.2014","49.5.11.6.2014",1
"52.4.20.6.14","52.4.20.6.14",1
"54.4.20.6.14","54.4.20.6.14",1
"67.6.11.6.2014","67.6.11.6.2014",1
"74.4.20.6.14","74.4.20.6.14",1
"940.F.01","940.F.01",1
"1773.Thraupis.gauco3.lgi","1773.Thraupis.gauco3.lgi",2
"894.MR209.lane3.NoIndex.L003","894.MR209.lane3.NoIndex.L003",1
"1734.BD.ERD510","1734.BD.ERD510",2
"894.OS590.lane3.NoIndex.L003","894.OS590.lane3.NoIndex.L003",1
"1734.LD.NBS1062E","1734.LD.NBS1062E",2
"1773.Columb.passer5.lgi","1773.Columb.passer5.lgi",3
"940.CR.53.Fecal","940.CR.53.Fecal",3
"1734.LD.QCAZ.M51303","1734.LD.QCAZ.M51303",2
"894.F1468.lane5.NoIndex.L005","894.F1468.lane5.NoIndex.L005",1
"1734.LD.Carsow1","1734.LD.Carsow1",1
"894.SV1759.lane5.NoIndex.L005","894.SV1759.lane5.NoIndex.L005",1
"894.OS465.lane3.NoIndex.L003","894.OS465.lane3.NoIndex.L003",1
"1696.CT0001.3","1696.CT0001.3",1
"1734.LD.NBS1076E","1734.LD.NBS1076E",2
"1064.G.CV05","1064.G.CV05",4
"894.F1456.lane5.NoIndex.L005","894.F1456.lane5.NoIndex.L005",1
"2300.BB.4064.anus","2300.BB.4064.anus",2
"894.MR511.lane3.NoIndex.L003","894.MR511.lane3.NoIndex.L003",1
"1064.G.CV315","1064.G.CV315",4
"1064.G.CV04","1064.G.CV04",2
"894.YY1654.lane5.NoIndex.L005","894.YY1654.lane5.NoIndex.L005",1
"1734.LD.QCAZ.M50993","1734.LD.QCAZ.M50993",2
"1056.Myr.tri.Seat.9.04I04","1056.Myr.tri.Seat.9.04I04",2
"1773.Turdus.oliv2.gizz","1773.Turdus.oliv2.gizz",3
"1734.BD.ERD511","1734.BD.ERD511",2
"1734.LD.QCAZ.M50991","1734.LD.QCAZ.M50991",1
"894.MR298.lane3.NoIndex.L003","894.MR298.lane3.NoIndex.L003",1
"1056.Myr.tri.Seat.27.04K10","1056.Myr.tri.Seat.27.04K10",1
"940.P.03.Fecal","940.P.03.Fecal",1
"1773.Thraupis.gauco2.lgi","1773.Thraupis.gauco2.lgi",3
"894.YY1655.lane5.NoIndex.L005","894.YY1655.lane5.NoIndex.L005",1
"550.L1S92.s.1.sequence","550.L1S92.s.1.sequence",2
"894.YY959.lane3.NoIndex.L003","894.YY959.lane3.NoIndex.L003",1
"894.OS584.lane3.NoIndex.L003","894.OS584.lane3.NoIndex.L003",1
"1773.Turdus.oliv1.lgi","1773.Turdus.oliv1.lgi",3
"1734.LD.NBS1067E","1734.LD.NBS1067E",2
"1056.Myr.tri.Seat.4.03H10","1056.Myr.tri.Seat.4.03H10",2
"894.F1457.lane5.NoIndex.L005","894.F1457.lane5.NoIndex.L005",1
"550.L1S202.s.1.sequence","550.L1S202.s.1.sequence",1
"1773.Columb.passer1","1773.Columb.passer1",3
"2300.BB.12.colon","2300.BB.12.colon",2
"2300.BB.4085.anus","2300.BB.4085.anus",2
"894.OS591.lane3.NoIndex.L003","894.OS591.lane3.NoIndex.L003",1
"1774.35Fecal23.10.09","1774.35Fecal23.10.09",3
"894.F1570.lane5.NoIndex.L005","894.F1570.lane5.NoIndex.L005",1
"894.SV1424.lane5.NoIndex.L005","894.SV1424.lane5.NoIndex.L005",1
"1773.Thraupis.palm1.ugi","1773.Thraupis.palm1.ugi",3
"1773.Columb.passer4","1773.Columb.passer4",3
"1773.Columb.passer5.gizz","1773.Columb.passer5.gizz",3
"894.UY792.lane3.NoIndex.L003","894.UY792.lane3.NoIndex.L003",2
"1734.LD.NBS1051F","1734.LD.NBS1051F",2
"1773.Salt.max4.ugi","1773.Salt.max4.ugi",3
"894.F1455.lane5.NoIndex.L005","894.F1455.lane5.NoIndex.L005",1
"1056.Pri.max.Seat.2.13B02","1056.Pri.max.Seat.2.13B02",1
"1734.LD.NBS1054E","1734.LD.NBS1054E",3
"940.CR.54.Fecal","940.CR.54.Fecal",1
"894.SV1543.lane5.NoIndex.L005","894.SV1543.lane5.NoIndex.L005",1
"894.OS1922.lane2.NoIndex.L002","894.OS1922.lane2.NoIndex.L002",1
