scientific_name,"Body
mass, g",Length m,"Species
Common name",science_name,Order,Family,"SI length,
cm","SI NSA,
cm2",Source
scinax trapicheroi,,0,,,,,,,
saccopteryx bilineata,8.1,0,,,,,,,
rhynchonycteris naso,4,0.12,Proboscis bat,rhynchonycteris naso,Chiroptera,Emballonuridae,12,,55
molossus sinaloae,22.6,0,,,,,,,
lophostoma evotis,19.8,0,,,,,,,
artibeus jamaicensis,39.3,0.313,"Jamaican fruit-eating
bat",artibeus jamaicensis,Chiroptera,Phyllostomidae,31.3,,55
artibeus phaeotis,11.6,0,,,,,,,
vampyressa thyone,1.02,0,,,,,,,
rhogeessa aeneus,,0,,,,,,,
rapala iarbus,,0,,,,,,,
haddadus binotatus,,0,,,,,,,
carollia brevicauda,17.2,0,Silky short-tailed bat,carollia brevicauda,Chiroptera,Phyllostomidae,,7.5,58
sturnira erythromos,15.1,0,,,,,,,
artibeus glaucus,,0,,,,,,,
chrotopterus auritus,96.1,0.32,Big-eared woolly bat,chrotopterus auritus,Chiroptera,Phyllostomidae,32,,57
lophostoma brasiliense,9.4,0,,,,,,,
myotis nigricans,4.2,0,,,,,,,
myotis simus,8.1,0,,,,,,,
dolichoderus sp,,0,,,,,,,
pachycondyla sp,,0,,,,,,,
azteca sp,,0,,,,,,,
neoponera sp,,0,,,,,,,
solenopsis sp,,0,,,,,,,
pseudomyrmex sp,,0,,,,,,,
dysschema viuda,,0,,,,,,,
tetracis cachexiata,,0,,,,,,,
bungalotis quadratum,,0,,,,,,,
astraptes samson,,0,,,,,,,
epargyreus sp,,0,,,,,,,
nystalea squamosa,,0,,,,,,,
morpho amathonte,,0,,,,,,,
archaeoprepona camilla,,0,,,,,,,
catonephele numilia,,0,,,,,,,
hylesia continua,,0,,,,,,,
adeloneivaia jason,,0,,,,,,,
automeris postalbida,,0,,,,,,,
copaxa rufinans,,0,,,,,,,
nyceryx tacita,,0,,,,,,,
alchornea latifolia,,0,,,,,,,
chrysochlamys glauca,,0,,,,,,,
coussapoa nymphaeifolia,,0,,,,,,,
pachydota saduca,,0,,,,,,,
sericochroa janzen01,,0,,,,,,,
cecrita probadhj04,,0,,,,,,,
morpho polyphemus catalina,,0,,,,,,,
morpho granadensis,,0,,,,,,,
antirrhea lindigii,,0,,,,,,,
memphis proserpina,,0,,,,,,,
taygetis rufomarginata,,0,,,,,,,
oxytenis beprea,,0,,,,,,,
xylophanes loelia,,0,,,,,,,
flos sp,,0,,,,,,,
noctilio leporinus,59.2,0.342,Greater bulldog bat,noctilio leporinus,Chiroptera,Noctilionidae,34.2,,57
epamera mimosae,,0,,,,,,,
iolaus trimeni,,0,,,,,,,
pseudbarydia crespula,,0,,,,,,,
hemiceras nigrescens,,0,,,,,,,
unzela japix,,0,,,,,,,
pyrrharctia isabella,,0,,,,,,,
zolessia felderi,,0,,,,,,,
euchaetes egle,,0,,,,,,,
selenia alciphearia,,0,,,,,,,
eutrapela clemataria,,0,,,,,,,
tetracis crocallata,,0,,,,,,,
lytrosis unitaria,,0,,,,,,,
catocala cara,,#VALUE!,,,,,,,
panthea furcilla,,0,,,,,,,
lithophane hemina,,0,,,,,,,
acronicta lepusculina,,0,,,,,,,
pheosia rimosa,,0,,,,,,,
notodonta torva,,0,,,,,,,
nymphalis antiopa,,0,,,,,,,
callosamia angulifera,,#VALUE!,,,,,,,
hyalophora cecropia,,0,,,,,,,
lapara bombycoides,,0,,,,,,,
ceratomia undulosa,,0,,,,,,,
archaeoprepona demophoon,,0,,,,,,,
eooxylides tharis,,0,,,,,,,
hypercompe icasia,,0,,,,,,,
gonodonta sp,,0,,,,,,,
udranomia kikkawai,,0,,,,,,,
polygonus leo,,0,,,,,,,
eutelia furcata,,0,,,,,,,
spragueia lepus,,0,,,,,,,
euscirrhopterus poeyi,,0,,,,,,,
ophisma tropicalis,,0,,,,,,,
diphthera festiva,,0,,,,,,,
pseudomyrmex spinicola,,0,,,,,,,
perigonia ilus,,0,,,,,,,
canus lupus dingo,,0,,,,,,,
chlamyphorus truncatus,44.3,0,,,,,,,
macrosiphum euphorbiae,,0,,,,,,,
phasis thysbe,,0,,,,,,,
aloeides pallida,,0,,,,,,,
trachops cirrhosus,33.5,0,Fringe-lipped bat,trachops cirrhosus,Chiroptera,Phyllostomidae,,11.29,58
artibeus lituratus,69.6,0.4218,Great fruit-eating bat,artibeus lituratus,Chiroptera,Phyllostomidae,42.18,28.7,"57, This study"
micronycteris microtis,6.5,0,,,,,,,
desmodus rotundus,29,0.2695,Vampire bat,desmodus rotundus,Chiroptera,Phyllostomidae,26.95,14.02,"57, 58"
antrozous dubiaquercus,22.9,,,,,,,,
eptesicus furinalis,7.7,,,,,,,,
choeroniscus minor,8.7,,,,,,,,
anser sp,1043,,,,,,,,
pheidole sp,,,,,,,,,
gigantiops destructor,,,,,,,,,
camponotus sp,,,,,,,,,
melese espinoza01,,,,,,,,,
caligo atreus,,,,,,,,,
pterourus bryki,,,,,,,,,
hernandia stenura,,,,,,,,,
hypsiboas albopunctatus,,,,,,,,,
