"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
,,,BIRDS,,,,
Mottled duck,anas fulvigula,Anseriformes,Anatidae,742,135.85,,"2, 3"
Mallard,anas platyrhynchos,Anseriformes,Anatidae,1237.2,122.9,160,3-6
Lesser scaup,aythya affinis,Anseriformes,Anatidae,718,172.1,,"6, 7"
Greater scaup,aythya marila,Anseriformes,Anatidae,892,169.6,,"6, 7"
Muscovy duck,cairina moschata,Anseriformes,Anatidae,585,127.8,,3
Herring gull,larus argentatus,Charadriiformes,Laridae,787.9,90,,3
Ring-billed gull,larus delawarensis,Charadriiformes,Laridae,359.7,69,,3
Glaucous gull,larus hyperboreus,Charadriiformes,Laridae,1132,116.5,,3
Pigeon,columba livia,Columbiformes,Columbidae,270.4,60.3,68.6,"3, 4, 8, 9"
Northern bobwhite,colinus virginianus,Galliformes,Odontophoridae,166.7,50.3,63.84,"3, 10, 11"
Montezuma quail,cyrtonyx montezumae,Galliformes,Odontophoridae,186,46,,11
Rock partridge,alectoris graeca,Galliformes,Phasianidae,576,77.5,,11
Scaled quail,callipepla squamata,Galliformes,Phasianidae,175,59,,11
Japanese quail,"coturnix coturnix
japonica",Galliformes,Phasianidae,169.1,37.4,29.85,"12, 13"
Chicken,gallus g. domesticus,Galliformes,Phasianidae,2481,188.4,550,"3, 9"
Gambel’s quail,lophortyx gambelii,Galliformes,Phasianidae,188,81,,11
Wild turkey,meleagris gallopavo,Galliformes,Phasianidae,7050,222,,"3, 11"
Mountain quail,oreortyx picta,Galliformes,Phasianidae,250,76.5,,11
Hungarian partridge,perdix perdix,Galliformes,Phasianidae,395,59,,11
Ring-necked pheasant,phasianus colchicus,Galliformes,Phasianidae,938.3,97.8,130,"3-5, 11"
American coot,fulica americana,Gruiformes,Rallidae,491,73.8,75.5,"3, 4"
Purple gallinule,porphyrula martinica,Gruiformes,Rallidae,163.9,42.9,,3
Waxwing,bombycilla garrulus,Passeriformes,Bombycillidae,62.1,29.19,,14
Raven,corvus corax,Passeriformes,Corvidae,874,103.5,,3
Rook,corvus frugilegus,Passeriformes,Corvidae,359.5,61.75,,15
Blue jay,cyanocitta cristata,Passeriformes,Corvidae,61,33.3,,3
,,,,,,,
Caviedes-Vidal et al.,table 2,,,2,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Song sparrow,melospiza melodia,Passeriformes,Fringillidae,21.2,18.4,16.87,16
Pine grosbeak,pinicola enucleator,Passeriformes,Fringillidae,52.6,100.99,,14
Rufous-sided towhee,"pipilo
erythrophthalmus",Passeriformes,Fringillidae,41.5,19.49,18.29,"5, 16, 17"
Scarlet tanager,piranga olivacea,Passeriformes,Fringillidae,31.4,17.9,20.52,16
"Scarlet-rumped
tanager","ramphocelus
passerinii",Passeriformes,Fringillidae,30.3,14.8,16.4,16
Variable seedeater,sporophila aurita,Passeriformes,Fringillidae,10.4,11,6.11,16
"Silver-throated
tanager","tangara
icterocephala",Passeriformes,Fringillidae,22,12.3,12.47,16
Blue-gray tanager,thraupis virens,Passeriformes,Fringillidae,34,11.5,12.71,16
Red-winged blackbird,agelaius phoeniceus,Passeriformes,Icteridae,57.5,,15.5,18
Streak-backed oriole,icterus pustulatus,Passeriformes,Icteridae,28.2,,7.08,"C. Martínez del
Rio, personal
communication"
Orchard oriole,icterus spurius,Passeriformes,Icteridae,18.5,,6.57,"C. Martínez del
Rio, personal
communication"
"Brown-headed
cowbird",molothrus ater,Passeriformes,Icteridae,40.8,,12.9,"C. Martínez del
Rio, personal
communication"
Boat-tailed grackle,quiscalus major,Passeriformes,Icteridae,178.2,46.2,,3
Great-tailed grackle,quiscalus mexicanus,Passeriformes,Icteridae,95.9,,30.4,"C. Martínez del
Rio, personal
communication"
Common grackle,quiscalus quiscula,Passeriformes,Icteridae,81.1,32.3,,3
Gray catbird,"dumetella
carolinensis",Passeriformes,Mimidae,32,17,18.7,19
Northern mockingbird,mimus polyglottos,Passeriformes,Mimidae,51.9,20.4,27.74,16
British robin,erithacus rubecula,Passeriformes,Muscicapidae,16.3,14.82,,"20, 21"
"North American
thrush",hylocichla guttata,Passeriformes,Muscicapidae,31,17.6,23.87,16
,,,,,,,
Caviedes-Vidal et al.,table 2,,,3,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Clay-colored robin,turdus grayi,Passeriformes,"Muscicapidae/
Turdidae",74.7,19.1,29.51,16
Tufted titmouse,parus bicolor,Passeriformes,Paridae,21.3,17.6,19.9,16
Carolina chickadee,parus carolinensis,Passeriformes,Paridae,10.1,9.1,6.43,16
Great tit,parus major,Passeriformes,Paridae,16.2,14.2,7.11,"21, 22"
"Yellow-rumped
warbler",dendroica coronata,Passeriformes,Parulidae,11.9,12.37,5.83,"23, 24"
Pine warbler,dendroica pinus,Passeriformes,Parulidae,11.7,13.7,6,25
"Orange-crowned
warbler",vermivora celata,Passeriformes,Parulidae,8.2,,5.4,26
House sparrow,passer domesticus,Passeriformes,Passeridae,26.6,17,11.8,"4, 27"
Thrush-like manakin,schiffornis turdinus,Passeriformes,"Pipridae/
Cotingidae",32,17.8,16.26,16
Tree sparrow,passer montanus,Passeriformes,Ploceidae,25,16.12,5.96,28
Goldcrest,regulus regulus,Passeriformes,Regulidae,5.1,6.17,,20
"White-breasted
nuthatch",sitta carolinensis,Passeriformes,Sittidae,20.9,16.2,14.65,16
European starling,sturnus vulgaris,Passeriformes,Sturnidae,73,32.24,29.05,"5, 14, 18, 19"
Garden warbler,sylvia borin,Passeriformes,Sylviidae,18.5,15,,"21, 29"
"Orange-billed
nightingale-thrush","catharus
aurantiirostris",Passeriformes,Turdidae,25.2,,9.12,"C. Martínez del
Rio, personal
communication"
Hermit thrush,catharus guttatus,Passeriformes,Turdidae,33,,11.2,30
Gray-cheeked thrush,catharus minimus,Passeriformes,Turdidae,43.5,,14.8,30
American robin,turdus migratorius,Passeriformes,Turdidae,78.4,26.97,33.79,"3, 5, 16, 19"
Fieldfare,turdus pilaris,Passeriformes,Turdidae,102.7,41.08,,14
Rufous-backed robin,turdus rufopalliatus,Passeriformes,Turdidae,70.4,,24.23,"C. Martínez del
Rio, personal
communication"
"Yellow-bellied
elaenia",elaenia flavogaster,Passeriformes,Tyrannidae,23.5,12.5,14.99,16
,,,,,,,
Caviedes-Vidal et al.,table 2,,,4,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Western flycatcher,empidonax difficilis,Passeriformes,Tyrannidae,10.9,,4.74,"C. Martínez del
Rio, personal
communication"
"Ochre-bellied
flycatcher","mionectes oleagineus/
pipromorpha
oleaginea",Passeriformes,Tyrannidae,10.8,15.3,11.24,16
Great kiskadee,pitangus sulphuratus,Passeriformes,Tyrannidae,73.3,,21.58,"C. Martínez del
Rio, personal
communication"
,"terrenotricus
erythrurus",Passeriformes,Tyrannidae,7.5,6.1,4.56,16
Tropical kingbird,"tyrannus
melancholicus",Passeriformes,Tyrannidae,39.8,19,,16
Yellow-breasted chat,icteria virens,Passeriformes,Vireonidae,21.9,,10.82,"C. Martínez del
Rio, personal
communication"
Blue-headed vireo,vireo solitarius,Passeriformes,Vireonidae,17,13.2,11.9,16
Lesser honeyguide,indicator minor,Piciformes,Indicatoridae,24.7,24.6,,31
,,TERRESTRIAL EUTHERIAN MAMMALS,,,,,
Pig,sus scrofa,Artiodactyla,Suidae,111850,,10047,"32, 33"
Dog,canis familiaris,Carnivora,Canidae,9782.5,271,907,32-37
Red fox,vulpes vulpes,Carnivora,Canidae,6320,210,939.2,"32, 34"
Leopard,panthera pardus,Carnivora,Felidae,15700,,1580,32
African golden cat,profelis aurata,Carnivora,Felidae,5230,,404,32
African palm civet,nandinia binotata,Carnivora,Nandiniidae,2363.3,,370,32
Servaline genet,genetta servalina,Carnivora,Viverridae,1480,,274,32
African linsang,poiana richardsoni,Carnivora,Viverridae,510,,184,32
"South American
squirrel monkey",saimiri sciureus,Primates,Cebidae,675.4,114.88,,38
"Grey-cheeked
mangabey",cercocebus albigena,Primates,Cercopithecidae,3700,,453,32
,,,,,,,
Caviedes-Vidal et al.,table 2,,,5,,,
"Species
Common name",scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Vervet monkey,"cercopithecus
aethiops",Primates,Cercopithecidae,4700,,643.5,39
"Western black-and-
white colobus",colobus polykomos,Primates,Cercopithecidae,6500,,925,32
Long-tailed macaque,macaca fascicularis,Primates,Cercopithecidae,3216.7,,1024.3,32
Rhesus macaque,macaca mulatta,Primates,Cercopithecidae,13885,,768.67,"32, 40"
Talapoin monkey,miopithecus talapoin,Primates,Cercopithecidae,915,,522.5,32
