SampleID,cluster,bodymass,host_scientific_name,,digestive_habitat_type,diet,surrounding_habitat,host_order,host_kingdom,host_phylum,host_class,host_family,host_genus,country,lifestage,captive_wild,preservation_method,extraction_method,PD_whole_tree,chao1,shannon,simpson,observed_otus,host_phylogeny_nDMSproxy,latitiude,longitude,Bio2_2_5min,Bio3_2_5min,Bio5_2_5min,Bio9_2_5min,Bio14_2_5min,Bio15_2_5min,Bio18_2_5min,Bio19_2_5min,terrain_complexity,NDVI_Modis_1_mar.2018,Immune_Complexity_Ordinal,maxlongevity,elevation_m
ERR1720447,3,,maculinea alcon,,intestine,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,7.43391,2,0.03762236,0.007968,2,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720439,3,,maculinea alcon,,intestine,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,8.10495,3,0.982200454,0.481594,3,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720435,3,,maculinea alcon,,intestine,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,12.25143,93,0.200989261,0.03759,15,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720446,3,,maculinea alcon,,intestine,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,6.95264,1,0,0,1,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720452,3,,maculinea alcon,,intestine,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,8.97438,5,0.237345097,0.060514,5,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720414,3,,anthene usamba,,intestine,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,anthene,kenya,larvae,wild,ethanol,DNeasy Powersoil,7.59872,2,0.011407758,0.001998,2,0.597,0.4801,36.838,12.73659163,83.08375658,26.52530517,18.67690569,20.5758912,65.93624773,350.7838592,151.5801088,1047.560059,132,0,,1614
ERR1720546,3,,durbania amakosa,,intestine,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,durbania,south africa,larvae,wild,ethanol,DNeasy Powersoil,8.41911,3,0.056815215,0.011938,3,0.597,-25.104383,30.5432,12.07650866,61.83731294,22.21393649,9.306683915,14.53199013,77.32600025,494.9067561,44.12796052,13450,168,0,,1945
ERR1720450,3,,maculinea alcon,,stomach,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,8.03882,2,0.011407758,0.001998,2,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720440,3,,maculinea alcon,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,16.53428,78.8,0.637137699,0.118116,41,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720436,3,,maculinea alcon,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,7.52579,3,0.032218939,0.005986,3,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720438,3,,maculinea alcon,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,maculinea,denmark,larvae,wild,ethanol,DNeasy Powersoil,8.97754,6.333333333,0.383360009,0.12053,6,0.597,57.313634,11.128767,5.376100781,25.18466402,18.1862395,2.782489894,29,26.86613939,158.7577502,105.1999017,4.25,127,0,,8
ERR1720482,3,,rapala iarbus,,stomach,herbivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,rapala,singapore,larvae,wild,ethanol,DNeasy Powersoil,8.15069,4,0.022814071,0.003994,3,0.597,1.351291,103.694223,6.657138429,81.62349908,30.98542253,27.33797589,152.5897999,20.80368814,514.0285001,740.7682724,18.0247002,147,0,,58
ERR1720484,3,,spalgis epeus,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,spalgis,singapore,larvae,wild,ethanol,DNeasy Powersoil,9.22413,14,1.592929247,0.645562,9,0.597,1.318,103.8162,6.610634439,82.05136423,30.93557189,27.36200703,161.2466432,20.7440134,503.1895296,785.5056512,110.9140015,207,0,,26
ERR1720489,3,,spalgis epeus,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,spalgis,singapore,larvae,wild,ethanol,DNeasy Powersoil,10.14844,9.5,0.330653601,0.074264,9,0.597,1.318,103.8162,6.610634439,82.05136423,30.93557189,27.36200703,161.2466432,20.7440134,503.1895296,785.5056512,110.9140015,207,0,,26
ERR1720487,3,,spalgis epeus,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,spalgis,singapore,larvae,wild,ethanol,DNeasy Powersoil,8.56295,5,0.609226799,0.245668,4,0.597,1.318,103.8162,6.610634439,82.05136423,30.93557189,27.36200703,161.2466432,20.7440134,503.1895296,785.5056512,110.9140015,207,0,,26
ERR1720483,3,,spalgis epeus,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,spalgis,singapore,larvae,wild,ethanol,DNeasy Powersoil,8.79418,9,0.947479013,0.34373,6,0.597,1.4026,103.9682,6.466013555,81.2565039,30.92887127,27.19963307,148.305431,26.14201239,479.8393574,768.8938496,21.9843998,135,0,,13
ERR1720471,3,,spalgis epeus,,stomach,carnivore,terrestrial,lepidoptera,animalia,arthropoda,insecta,lycaenidae,spalgis,singapore,larvae,wild,ethanol,DNeasy Powersoil,9.10513,8.5,0.763843225,0.252902,8,0.597,1.4026,103.9682,6.466013555,81.2565039,30.92887127,27.19963307,148.305431,26.14201239,479.8393574,768.8938496,21.9843998,135,0,,13
