"","id","cluster.PAM"
"ERR1306253","ERR1306253",1
"ERR1306176","ERR1306176",1
"ERR1306087","ERR1306087",1
"ERR1306170","ERR1306170",1
"ERR1306014","ERR1306014",1
"ERR1306021","ERR1306021",1
"ERR1306268","ERR1306268",1
"ERR1306309","ERR1306309",1
"ERR1306423","ERR1306423",1
"ERR1305971","ERR1305971",1
"ERR1306329","ERR1306329",1
"ERR1306082","ERR1306082",1
"SRR6075095","SRR6075095",1
"SRR6075097","SRR6075097",1
"SRR6075137","SRR6075137",1
"SRR6075100","SRR6075100",1
"SRR6075130","SRR6075130",1
"SRR6075132","SRR6075132",1
"SRR6075134","SRR6075134",1
"SRR6075136","SRR6075136",1
"SRR6075101","SRR6075101",1
"ACLE.POTR.62315","ACLE.POTR.62315",1
"ADJO.R.6515","ADJO.R.6515",1
"ANTH.61215","ANTH.61215",1
"Aphids.tomato","Aphids.tomato",1
"ARCT.62315","ARCT.62315",1
"ARDE.6915","ARDE.6915",1
"AUPO.52015","AUPO.52015",1
"Bee2","Bee2",1
"Bee3","Bee3",1
"Bee4","Bee4",1
"Bee5","Bee5",1
"Bee6","Bee6",1
"BUQU.51615","BUQU.51615",1
"CAAN.LITU.8615","CAAN.LITU.8615",2
"CAAT.52415","CAAT.52415",1
"CACA.52815","CACA.52815",1
"CACA.SANI.52415","CACA.SANI.52415",1
"CAPH.6515","CAPH.6515",1
"CEUN.FRsp.72215","CEUN.FRsp.72215",1
"CL.SM.13.F","CL.SM.13.F",1
"CL.SM.13.H","CL.SM.13.H",1
"CL.SM.16.F","CL.SM.16.F",1
"CL.SM.25.F","CL.SM.25.F",1
"CL.SM.27.F","CL.SM.27.F",1
"CL.SM.28.F","CL.SM.28.F",1
"COPA.6515","COPA.6515",1
"DIFE.62515","DIFE.62515",1
"DYSC.52415","DYSC.52415",1
"EAIM.PIRI.9315","EAIM.PIRI.9315",1
"EI.CV.8.H","EI.CV.8.H",1
"EI.SM.10.F","EI.SM.10.F",1
"EI.SM.14.H","EI.SM.14.H",1
"EI.SM.14.M","EI.SM.14.M",1
"EI.SM.4.H","EI.SM.4.H",1
"EI.SM.5.M","EI.SM.5.M",1
"EPAR.51615","EPAR.51615",1
"EREB1.6215","EREB1.6215",1
"EREB2.6215","EREB2.6215",1
"EUCL.PRSE.51015","EUCL.PRSE.51015",1
"EUEG.81315.ASSY","EUEG.81315.ASSY",2
"EUFU.61915","EUFU.61915",1
"EUPO.61715","EUPO.61715",1
"GONO.62415","GONO.62415",1
"HYCE.PRSE.9315","HYCE.PRSE.9315",1
"HYCO.52015","HYCO.52015",1
"LABO.PIST.82815","LABO.PIST.82815",1
"LIHE.ACNE.BEPO.51915","LIHE.ACNE.BEPO.51915",1
"LYUN.PRSE.RUsp.52115","LYUN.PRSE.RUsp.52115",1
"MEES.6515","MEES.6515",1
"MEMP.61215","MEMP.61215",1
"MOAM.51615","MOAM.51615",1
"MORP.61215","MORP.61215",1
"NASA.51615","NASA.51615",1
"NOCT.52815","NOCT.52815",2
"NOT2.61215","NOT2.61215",1
"NOTO.52615","NOTO.52615",1
"NOTO.61215","NOTO.61215",1
"NOTO.POTR.61715","NOTO.POTR.61715",1
"NYAN.SANI.62315","NYAN.SANI.62315",1
