scientific_name
scinax trapicheroi
saccopteryx bilineata
rhynchonycteris naso
molossus sinaloae
lophostoma evotis
artibeus jamaicensis
artibeus phaeotis
vampyressa thyone
rhogeessa aeneus
rapala iarbus
haddadus binotatus
carollia brevicauda
sturnira erythromos
artibeus glaucus
chrotopterus auritus
lophostoma brasiliense
myotis nigricans
myotis simus
dolichoderus sp
pachycondyla sp
azteca sp
neoponera sp
solenopsis sp
pseudomyrmex sp
dysschema viuda
tetracis cachexiata
bungalotis quadratum
astraptes samson
epargyreus sp
nystalea squamosa
morpho amathonte
archaeoprepona camilla
catonephele numilia
hylesia continua
adeloneivaia jason
automeris postalbida
copaxa rufinans
nyceryx tacita
alchornea latifolia
chrysochlamys glauca
coussapoa nymphaeifolia
pachydota saduca
sericochroa janzen01
cecrita probadhj04
morpho polyphemus catalina
morpho granadensis
antirrhea lindigii
memphis proserpina
taygetis rufomarginata
oxytenis beprea
xylophanes loelia
flos sp
noctilio leporinus
epamera mimosae
iolaus trimeni
pseudbarydia crespula
hemiceras nigrescens
unzela japix
pyrrharctia isabella
zolessia felderi
euchaetes egle
selenia alciphearia
eutrapela clemataria
tetracis crocallata
lytrosis unitaria
catocala cara
panthea furcilla
lithophane hemina
acronicta lepusculina
pheosia rimosa
notodonta torva
nymphalis antiopa
callosamia angulifera
hyalophora cecropia
lapara bombycoides
ceratomia undulosa
archaeoprepona demophoon
eooxylides tharis
hypercompe icasia
gonodonta sp
udranomia kikkawai
polygonus leo
eutelia furcata
spragueia lepus
euscirrhopterus poeyi
ophisma tropicalis
diphthera festiva
pseudomyrmex spinicola
perigonia ilus
canus lupus dingo
chlamyphorus truncatus
macrosiphum euphorbiae
phasis thysbe
aloeides pallida
trachops cirrhosus
artibeus lituratus
micronycteris microtis
desmodus rotundus
antrozous dubiaquercus
eptesicus furinalis
choeroniscus minor
anser sp
pheidole sp
gigantiops destructor
camponotus sp
melese espinoza01
caligo atreus
pterourus bryki
hernandia stenura
hypsiboas albopunctatus
lycaenidae
jalmenus daemeli
spodoptera latifascia
titaea tamerlan
anthene sp
zaedyus pichiy
lycaena clarki
chrysoritis chrysantas
peropteryx kappleri
pteronotus davyi
mormoops megalophylla
carollia sowelli
surendra vivarna
thraupis palmarum
dendropsophus minutus
priodontes maximus
syssphinx colla
lachnocnema bibulus
gila robusta
hypsiboas faber
scinax hayii
scinax littoralis
hylodes asper
pteronotus parnellii
glossophaga soricina
myotis elegans
felis catus
scinax fuscovarius
dendropsophus sanborni
turdus olivater
edales pandava
miletus biggsii
axiocerses thyra
eumaeus atala
hylodes phyllodes
cycloramphus boraceiensis
phasmahyla cruzi
thraupis gaucocolpa
platycichla flavipes
dromaius novaehollandiae
durbania amakosa
flos apidanus
neotoma lepida
cyprinus carpio
sturnira lilium
logania marmorata
ramphocelus carbo
zonotrichia capensis
spalgis epeus
rothschildia lebeau
citheronia lobesis
bos taurus
thoropa taophora
thestor yildizae
saltator maximus
trichosurus caninus
chiroxiphia lanceolata
macropus sp
lepidochrysops wykehami
eacles imperialis
feniseca tarquinius
acinonyx jubatus
anser indicus
teuchestes fossor
iguana iguana
physalaemus cuvieri
myrmecophaga tridactyla
neotoma albigula
maculinea alcon
hypsiboas albomarginatus
canus lupus familiaris
boophis sp
columbina passerina
alouatta pigra
jalmenus evagoras
shinisaurus crocodilurus
ochotona princeps
rhinopithecus brelichi
anthene usamba
columbina talpacoti
gasterosteus aculeatus
ovis aries
eulemur rubriventer
rusa unicolor
vombatidae
oryctolagus cuniculus
nepenthes rafflesiana
vulpes vulpes
myodes glareolus
catostomus sp
ursus americanus americanus
apis mellifera
alouatta palliata
homo sapiens
