SampleID,cluster,bodymass,host_scientific_name,digestive_habitat_type,diet,surrounding_habitat,country,host_order,host_kingdom,host_phylum,host_class,host_family,host_genus,country,elevation_m,additional_microbial_habitat_info,lifestage,captive_wild,sampling_month,trophic_diet,preservation_method,extraction_method,biogeo_realm,PD_whole_tree,chao1,shannon,simpson,observed_otus,host_phylogeny_nDMSproxy,FID,latitiude,longitude,Site_ID,Bio1_2_5min,Bio2_2_5min,Bio3_2_5min,Bio4_2_5min,Bio5_2_5min,Bio6_2_5min,Bio7_2_5min,Bio8_2_5min,Bio9_2_5min,Bio10_2_5min,Bio11_2_5min,Bio12_2_5min,Bio13_2_5min,Bio14_2_5min,Bio15_2_5min,Bio16_2_5min,Bio17_2_5min,Bio18_2_5min,Bio19_2_5min,Vegetation_density,terrain_complexity,NDVI_Modis_1_mar.2018,Immune_Complexity_Ordinal,Immune_Complexity_Binary
SRR2006080,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3835,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.32986,23,3.697748173,0.85211,23,-0.276,4720,29.2,88.5,70,4.267599971,14.2122666,41.94778823,678.0818093,21.27040024,-12.61039982,33.88080006,11.72786659,-4.288000003,12.49053323,-4.288000003,398,129.6,1,132.2626569,296.8,6,294,6,0,27502.5,73,9,Adaptive
SRR2006076,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3835,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.18811,10,1.884742075,0.579912,10,-0.276,4719,29.2,88.5,70,4.267599971,14.2122666,41.94778823,678.0818093,21.27040024,-12.61039982,33.88080006,11.72786659,-4.288000003,12.49053323,-4.288000003,398,129.6,1,132.2626569,296.8,6,294,6,0,27502.5,73,9,Adaptive
SRR2006084,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3955,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.9988,22,3.862024187,0.907424,22,-0.276,4721,29.3,88.8,71,4.064086684,14.00652,41.3680901,697.3267062,20.96176071,-12.89359993,33.85536064,12.46056012,-3.392720021,12.46056012,-4.671013351,375.92,128.12,0.64,141.9894891,294,2.64,294,2.64,0,14950.7998,60,9,Adaptive
SRR2006088,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3955,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.33633,19,3.522765738,0.857316,19,-0.276,4723,29.3,88.8,71,4.064086684,14.00652,41.3680901,697.3267062,20.96176071,-12.89359993,33.85536064,12.46056012,-3.392720021,12.46056012,-4.671013351,375.92,128.12,0.64,141.9894891,294,2.64,294,2.64,0,14950.7998,60,9,Adaptive
SRR2006092,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3587,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.4021,8,1.885285772,0.596572,8,-0.276,4715,29.4,90.8,72,5.950680007,13.96192001,42.74174799,660.5921311,22.27807999,-10.38800014,32.66608013,13.95888003,-2.269333326,13.95888003,-2.269333326,390.48,111.2,1,125.55612,281.88,3,281.88,3,0,85892.39844,57,9,Adaptive
SRR2006093,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3587,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.1235,8,1.911684294,0.597998,8,-0.276,4716,29.4,90.8,72,5.950680007,13.96192001,42.74174799,660.5921311,22.27807999,-10.38800014,32.66608013,13.95888003,-2.269333326,13.95888003,-2.269333326,390.48,111.2,1,125.55612,281.88,3,281.88,3,0,85892.39844,57,9,Adaptive
SRR2006094,1,small,anser indicus,fecal,herbivore,terrestrial,tibet,anseriformes,animalia,chordata,aves,anatidae,anser,tibet,3587,1 gram collected from inner fecal ball,adult,wild,february,1,direct_freeze,EZna Stool Dna Kit,palearctic,13.07292,9,1.871108063,0.580564,9,-0.276,4717,29.4,90.8,72,5.950680007,13.96192001,42.74174799,660.5921311,22.27807999,-10.38800014,32.66608013,13.95888003,-2.269333326,13.95888003,-2.269333326,390.48,111.2,1,125.55612,281.88,3,281.88,3,0,85892.39844,57,9,Adaptive
1773.Salt.max1.ugi,1,small,saltator maximus,fecal,herbivore,terrestrial,venezuela,passeriformes,animalia,chordata,aves,cardinalidae,saltator,venezuela,1360,excreta,adult,wild,november,1,direct_freeze,DNeasy Powersoil,neotropic,8.46548,3,0.996411284,0.491338,3,-0.276,6400,9.961667,-68.671944,49,21.48202346,9.558821658,83.91628333,44.94664417,27.07794299,15.68708859,11.39085441,21.59653412,21.08170261,21.92479053,20.85368354,1084.953578,168.6607863,16.94025899,59.24426944,455.5652064,57.35654651,263.1390094,81.01305301,10,21560.5,218,9,Adaptive
1056.Zae.pic.Mend.2,1,small,zaedyus pichiy,fecal,carnivore,terrestrial,argentina,cingulata,animalia,chordata,mammalia,chlamyphoridae,zaedyus,argentina,2449,feces,adult,wild,november,3,direct_freeze,DNeasy Powersoil,neotropic,19.18998,298,1.763504399,0.488952,51,-0.278,9492,-32.8,-68.867,13,16.64997171,14.09765325,45.9721307,606.361845,31.41822671,0.752908794,30.66531792,22.73499193,8.999651253,23.89039663,8.999651253,235.0176,46.4384,6.1616,65.85463964,118.7856,22.4848,111.5008,22.4848,0,9093.330078,95,9,Adaptive
1734.BD.ERD506,1,small,carollia sowelli,fecal,herbivore,terrestrial,belize,chiroptera,animalia,chordata,mammalia,phyllostomidae,carollia,belize,36,feces,adult,wild,april,1,direct_freeze,DNeasy Powersoil,neotropic,33.03666,286.6153846,5.540715214,0.94261,162,-0.278,5846,17.746,-88.065,61,26.822,5.016,53.749,143.355,31.266,21.933,9.333,27.211,25.994,28.177,24.916,1609,277,42,48,612,141,471,290,NA,3.2,207,9,Adaptive
